,en,ru,tr
GAME_NAME,Which Character Are You,Какой Ты Персонаж,Hangi Karaktersin
DO_NOT_KNOW,Don't know,Не знаю,Bilmiyorum
YES,Yes,Да,Evet
MORE_LIKELY_YES,More likely yes,Скорее всего да,Büyük ihtimalle evet
NO,No,Нет,Hayır
MORE_LIKELY_NO,More likely no,Скорее всего нет,Büyük ihtimalle hayır
INFO,"This is a fun game that will help you find out what kind of character you would be in famous movies, TV shows or books. You will answer various questions about your preferences, character and ideas about the world. The game will then compare your answers with information about various characters and determine which of them you are most similar to.","Это веселая игра, которая поможет вам узнать, каким персонажем вы могли бы быть в известных фильмах, сериалах или книгах. Вы ответите на различные вопросы о ваших предпочтениях, характере и представлениях об окружающем мире. Затем игра сравнит ваши ответы с информацией о различных персонажах и определит, на кого из них вы больше всего похожи.","Bu, ünlü filmlerde, dizilerde veya kitaplarda nasıl bir karakter olacağınızı öğrenmenize yardımcı olacak eğlenceli bir oyundur. Tercihleriniz, karakteriniz ve dünya hakkındaki fikirleriniz hakkında çeşitli soruları yanıtlayacaksınız. Oyun daha sonra yanıtlarınızı çeşitli karakterler hakkındaki bilgilerle karşılaştıracak ve bunlardan hangisine en çok benzediğinizi belirleyecektir."
LANGUAGE,Language,Язык,Dil
SCALE,Scale,Масштаб,Ölçek
MOBILE,Mobile,Мобайл,Mobil
TABLET,Tablet,Таблет,Tablet
PC,PC,ПК,Bilgisayar
